"language"	"langcode"	"family"	"location"	"core inventory"	"marginal inventory"	"reference"
"Bari (Kukú dialect)"	"BARI"	"NILO-SAHARAN (Nilotic)"	"Sudan and Uganda"	"p,t,k,k͡p,ʔ,b,d,ɟ,ɡ,ɡ͡b,i,ɨ,u,ɓ,ɗ,ɪ,ʊ,s,e,o,m,n,ɲ,ŋ,ŋ͡m,ɛ,ɔ,r,a,l,w,j,ʔj,"	"h,"	"Cohen, Kevin Bretonnel (2000) Aspects of the Grammar of Kukú. Muenchen: Lincom Europa.  "
"Basque"	"BASQ"	"BASQUE"	"Spain and France"	"p,t̪,t̻s̻,ts,tʃ,tʲ,k,b,d̪,dʲ,ɡ,i,u,f,s̻,s,ʃ,x,h,e,o,m,n̪,ɲ,a,l,ʎ,ɾ,r,"		"Saltarelli, Mario, Miren Azkarate, David Farwell, Jon Ortiz de Urbina, Lourdes Oñederra  (1988) Basque. New York: Croom Helm."
"Bata"	"BATA"	"AFRO-ASIATIC (Chadic)"	"Nigeria"	"p,t,k,k͡p,ʔ,b,d,ɡ,ɡ͡b,ɯ,ɓ,ɗ,ə,b,ⁿd,ɡ,ɡ͡b,a,f,ʃ,h,v,ʒ,ⁿʒ,m,n,ŋ,ɭ,ɽ,w,j,"		"Boyd, Raymond (2002) Bata Phonology: A Reappraisal. Muenchen: Lincom Europa."
"Batibo Moghamo (Metaʼ)"	"BATI"	"NIGER-CONGO (Bantu)"	"Cameroon"	"p,t,tʃ,k,ʔ,b,d,dʒ,ɡ,ĩ,i,ɨ,u,f,ʃ,ẽ,e,ə,o,ʒ,ã,a,ɔ,m,n,ɲ,ŋ,w,"	"j,"	"Stallcup, Kenneth Lyell (1978) A Comparative Perspective on the Phonology and Noun Classification of Three Cameroon Grassfields Bantu Languages: Moghamo, Ngie, and Oshie. Ann Arbor: UMI."
"Beaver, Halfway River"	"BEAV"	"NA-DENE"	"Canada"	"tʰ,tsʰ,tɬʰ,tʃʰ,kʰ,p,t,ts,tɬ,tʃ,k,i,u,tʼ,tsʼ,tɬʼ,tʃʼ,kʼ,ʔ,e,ə,o,s,ɬ,ʃ,x,a,z,ɮ,ɣ,m,n,w,j,h,"		"Randoja, Tiina (1990) The Phonology and Morphology of Halfway River Beaver. Ann Arbor: UMI."
"Belizian Creole (Northern Central America Creole English)"	"BELI"	"CREOLE"	"Belize"	"p,t,k,ʔ,b,d,ɡ,i,u,f,θ,s,ʂ,ç,h,e,o,v,ð,z,ʐ,ʝ,ɑ,m,n,ŋ,l,iː,uː,r,eː,oː,w,j,ɑː,"		"Greene, Laurie A. (1999) A Grammar of Belizean Creole: Compilations from Two Existing United States Dialects. New York: Peter Lang."
"Bemba"	"BEMB"	"NIGER-CONGO (Bantu)"	"Zambia"	"p,t,tʃ,k,f,s,ʃ,i,u,β,ɛ,ɔ,m,n,ɲ,ŋ,a,l,w,j,"		"van Sambeek, W.F. (1966) A Bemba Grammar. Cape Town: Galvin & Sales (Pty.) Ltd."
"Bengali"	"BENG"	"INDO-EUROPEAN (Indo-Aryan)"	"Bangladesh and India"	"p,t̪,ʈ,tʃ,k,b,d̪,ɖ,dʒ,ɡ,ĩ,ũ,pʰ,t̪ʰ,ʈʰ,tʃʰ,kʰ,i,u,bʰ,d̪ʰ,ɖʰ,dʒʰ,ɡʰ,ẽ,õ,s,ʃ,h,e,o,z,æ̃,ã,ɑ̃,m,n,ŋ,æ,a,ɑ,l,ɾ,ɽ,o̯,e̯,w,j,"		"Ray, Punya Sloka (1966) Bengali Language Handbook. Washington, D.C.: Center for Applied Linguistics."
"Berbice Dutch Creole"	"BERB"	"CREOLE"	"Guyana"	"p,t,k,b,d,ɡ,i,u,f,s,ʃ,h,e,o,ɛ,m,n,a,l,r,"	"v,z,"	"Kouwenberg, Silvia (1994) A Grammar of Berbice Dutch Creole. New York: Mouton de Gruyter."
"Bikele"	"BIKE"	"NIGER-CONGO (Bantu)"	"Cameroon"	"p,t,tʃ,k,k͡p,b,d,dʒ,ɡ,i,iː,ɨ,u,uː,p,ⁿt,ⁿtʃ,k,k͡p,e,eː,o,oː,b,ⁿd,ⁿdʒ,ɡ,ɡ͡b,ɛ,ɛː,ə,f,s,a,aː,ɒ,ɒː,m,n,ɲ,ŋ,l,w,j,"		"Begne, Leopold Prosper (1980) The Phonology of Bikele, A Cameroonian Language. Ann Arbor: UMI."
"Binumarien"	"BINU"	"TRANS-NEW GUINEA"	"Papua New Guinea"	"p,t,k,ʔ,ɸ,s,i,u,m,n,e,o,r,ɽ,a,w,j,"		"Oatridge, Desmond and Jennifer Oatridge (1973) Phonemes of Binumarien. McKaughan, Howard (ed.) (1973) The Languages of the Eastern Family of the East New Guinea Highland Stock. Seattle: University of Washington Press."
"Biri"	"BIRI"	"AUSTRALIAN (Pama-Nyungan)"	"Australia"	"b,d̪,d,ɟ,ɡ,m,n̪,n,ɲ,ŋ,i,u,l,a,r,w,ɻ,j,"		"Terrill, Angela (1998) Biri. München: Lincom Europa."
"Bisu"	"BISU"	"SINO-TIBETAN"	"China, Thailand"	"pʰ,pʲʰ,tʰ,kʰ,kʰʲ,p,pʲ,t,k,kʲ,i,ɯ,u,b,bʲ,d,ɡ,e,ɤ,o,m,mʲ,n,ŋ,a,tsʰ,tɕʰ,ts,tɕ,i̺,f,s,ɕ,x,v,z,ʑ,l,"		"Xu, Shixuan (2001) The Bisu Language, Cecilia Brassett (transl.). München: Lincom Europa. "
"Blackfoot"	"BLAC"	"ALGIC"	"Canada and USA"	"p,t,k,ʔ,i,s,h,o,m,n,a,w,j,"		"Frantz, Donald G. (1991) Blackfoot Grammar. Toronto: University of Toronto Press."
"Boko/Busa"	"BOKO"	"NIGER-CONGO (Mande)"	"Democratic Republic of Congo"	"p,pˡ,t,k,kʲ,kʷ,k͡p,ʔ,b,bˡ,d,ɡ,ɡʲ,ɡʷ,ɡ͡b,i,ĩ,u,ũ,f,fˡ,s,sʷ,e,o,v,vˡ,z,zʷ,ɛ,ɛ̃,ɔ,ɔ̃,m,mˡ,N?,a,ã,l,j,w,h,"		"Jones, Ross McCallum (1998) The Boko/Busa Language Cluster. München: Lincom Europa."
"Boko/Busa (Kaiama dialect)"	"BOKK"	"NIGER-CONGO (Mande)"	"Democratic Republic of Congo"	"p,pˡ,t,k,kʲ,kʷ,k͡p,ʔ,b,bˡ,d,ɡ,ɡʲ,ɡʷ,ɡ͡b,i,ĩ,u,ũ,f,fˡ,s,sʷ,e,o,v,vˡ,z,zʷ,ɛ,ɛ̃,ɔ,ɔ̃,m,mˡ,N?,a,ã,l,j,w,h,"		"Jones, Ross McCallum (1998) The Boko/Busa Language Cluster. München: Lincom Europa."
"Boruca"	"BORU"	"CHIBCHAN"	"Costa Rica"	"t̪,ts,tʃ,k,ʔ,b,d̪,dʒ,ɡ,i,u,s,ʃ,x,e,o,m,n,ɲ,ŋ,a,ɾ,"		"Constenla, Adolfo (1981) Comparative Chibchan Phonology. Ann Arbor: UMI."
"Brahui"	"BRAH"	"DRAVIDIAN"	"Pakistan and Afghanistan"	"p,t,ʈ,tʃ,k,ʔ,b,d,ɖ,dʒ,ɡ,f,s,ʃ,x,iː,i,uː,u,z,ʒ,ɣ,eː,e,oː,o,ɬ,aː,a,ɽ,m,n,ɳ,ɲ,ŋ,l,r,ʋ,j,"		"Andronov, M. S. (1980) The Brahui Language. Moscow: Nauka Publishing House."
"Breton"	"BRET"	"INDO-EUROPEAN (Celtic)"	"France"	"p,t,k,b,d,ɡ,ĩ,ỹ,ũ,i,y,u,f,s,ʃ,x,h,ẽ,õ,e,ø,o,v̥,v,ɛ̃,œ̃,ɛ,ɔ,m,n,ã,a,nː,l,lː,r,rː,w,j,"		"Press, Ian (1986) A Grammar of Modern Breton. New York: Mouton de Gruyter."
"Bribri"	"BRIB"	"CHIBCHAN"	"Costa Rica"	"p,t̪,t̪͡c,k,ʔ,b,d̪,ĩ,ũ,i,u,t̪s̪,tʃ,ɪ,ʊ,dʒ,ẽ,õ,e,o,s̪,ʃ,x,ã,a,ɺ,"		"Constenla, Adolfo (1981) Comparative Chibchan Phonology. Ann Arbor: UMI."
"Bukiyip"	"BUKI"	"TORRICELLI"	"Papua New Guinea"	"p,t,tʃ,k,b,d,dʒ,ɡ,i,ɨ,u,s,h,e,ə,o,m,n,ɲ,æ,a,l,r,w,j,"		"Conrad, Robert J., and Kepas Wogiga (1991) An Outline of Bukiyip Grammar. Canberra: Pacific Linguistics."
"Bukusu"	"BUKU"	"NIGER-CONGO (Bantu)"	"Kenya"	"p,tʃ,k,b,d,dʒ,ɡ,i,u,f,s,x,e,o,m,n,ɲ,ŋ,N?,a,l,r,w,j,"		"Austen, Cheryl Lynn (1974) Aspects of Bukusu Syntax and Phonology. Ann Arbor: UMI."
"Bulgarian"	"BULG"	"INDO-EUROPEAN (Slavic)"	"Bulgaria"	"p,pʲ,t,tʲ,c,k,b,bʲ,d,dʲ,ɟ,ɡ,i,ɨ,u,ts,tsʲ,tʃ,e,o,dʒ,a,f,fʲ,s,sʲ,ʃ,x,v,vʲ,z,zʲ,ʒ,m,mʲ,n,nʲ,l,lʲ,r,rʲ,j,"		"Scatton, Ernest A. (1984) A Reference Grammar of Modern Bulgarian. Columbus, OH: Slavica Publishers, Inc."
"Buriat"	"BURI"	"ALTAIC"	"Russia"	"p,t,k,b,d,ɡ,ai,iː,yː,uː,m,n,oi,i,y,u,f,s,ʃ,x,h,ui,eː,øː,oː,v,z,ʒ,ei,e,o,ts,tʃ,yi,aː,w,r,j,a,l,"		"Poppe, Nikolai Nikolaevich (1960) Buriat grammar. Bloomington: Indiana University."
"Burmese"	"BURM"	"SINO-TIBETAN"	"Burma"	"pʰ,tʰ,cɕʰ,kʰ,p,t,cɕ,k,ʔ,ai,i,u,b,d,ɟʝ,ɡ,au,ɛ,ʌ,ɔ,sʰ,ei,a,θ,s,ou,ð,z,ĩ,ũ,mʰ,nʰ,ɲʰ,ŋʰ,ɛ̃,ʌ̃,ɔ̃,m,n,ɲ,ŋ,ã,ʍ,ɬ,jʰ,w,l,j,h,r,"		"Okell, John (1969) A reference grammar of colloquial Burmese. London: Oxford U.P."
"Cabécar"	"CABE"	"CHIBCHAN"	"Costa Rica"	"p,t̪,k,t̪͡k,b,d̪,ĩ,ũ,i,u,t̪s̪,tʃ,ɪ,ʊ,dʒ,ẽ,õ,e,o,s̪,ʃ,h,ã,a,ɺ,"		"Constenla, Adolfo (1981) Comparative Chibchan Phonology. Ann Arbor: UMI."
"Cahuilla"	"CAHU"	"UTO-AZTECAN"	"USA"	"p,t,tʃ,k,kʷ,q,ʔ,iː,uː,f,s,ʃ,xʷ,x,h,eː,aː,m,n,ɲ,ŋ,l,ʎ,i,u,ɾ,e,w,j,a,"	"d,ɡ,oː,v,"	"Seiler, Hansjakob (1977) Cahuilla Grammar. Banning, CA: Malki Museum Press."
"Cantonese"	"CANT"	"SINO-TIBETAN"	"China"	"pʰ,tʰ,tsʰ,kʰ,kʰʷ,iː,yː,uː,p,t,ts,k,kʷ,ɪ,u,f,s,h,ɛː,œː,oː,m,n,ŋ,e,ø,o,l,ɑː,w,j,ɐ,"		"Hashimoto, Oi-kan Yue (1972) Phonology of Cantonese. Cambridge University Press."
"Capanahua"	"CAPA"	"PANOAN"	"Peru"	"p,t,k,ʔ,ts,tʃ,i,ɯ,o,s,ʃ,ʂ,a,β,m,n,ɾ,w,j,"		"Loos, Eugene Emil (1967) The Phonology of Capanahua and its Grammatical Basis. Norman: Summer Institute of Linguistics of the University of Oklahoma."
"Casiguran Dumagat (Agta)"	"AGTC"	"AUSTRONESIAN"	"Philippines"	"p,t,k,b,d,ɡ,ɪ,ʊ,s,h,ɛ,ə,ɔ,m,n,ŋ,a,l,r,w,j,"	"e,"	"Vanoverbergh, Morice (1937) Some undescribed Languages of Luzon. Nijmegen: Dekker & van de Vegt N.V."
"Catalan"	"CATA"	"INDO-EUROPEAN (Italic)"	"Spain, Andorra, and France"	"p,t̪,k,kʷ,b,d̪,ɡ,ɡʷ,i,u,f,s,ʃ,e,o,v,z,ʒ,ɛ,ɔ,m,n,ɲ,a,r,l,ʎ,w,j,"		"Wheeler, Max (1979) Phonology of Catalan.  Oxford: Basil Blackwell."
"Cavineña"	"CAVI"	"TACANAN"	"Bolivia"	"p,t,tʲ,k,kʷ,ʔ,b,d,dʲ,i,o,ts,tʃ,e,a,s,ʃ,h,ɾ,ʎ,m,n,ɲ,w,j,"		"Key, Mary Ritchie (1968) Comparative Tacanan Phonology. The Hague: Mouton."
"Cayapa (Chachi)"	"CAYA"	"BARBACOAN"	"Ecuador"	"p,t,tʲ,k,ʔ,b,d,dʲ,ɡ,i,u,ts,tʃ,e,a,ɸ,s,ʃ,h,m,n,ɲ,ŋ,l,ʎ,r,w,j,"		"Lindskoog, John N., and Ruth M. Brend (1962) Cayapa Phonemics. In Elson, Benjamin (ed.) (1962) Studies in Ecuadorian Indian Languages: I. Norman: Summer Institute of Linguistics of the University of Oklahoma."
"Cebuano"	"CEBU"	"AUSTRONESIAN"	"Philippines"	"p,t̪,k,ʔ,b,d̪,ɡ,i,u,s̪,h,m,n̪,ŋ,a,l̪,ɾ̪,j,w,"	"e,o,"	"Bunye, Maria Victoria R., and Elsa Paula Yap (1971) Cebuano Grammar Notes. Honolulu: University of Hawaii Press."
"Chakosi"	"CHAK"	"NIGER-CONGO (Kwa)"	"Ghana"	"p,pʲ,pʷ,t,tʲ,c,cʷ,k,kʷ,k͡p,k͡pʲ,i,u,b,bʲ,bʷ,d,dʲ,ɟ,ɟʷ,ɡ,ɡʷ,ɡ͡b,ɡ͡bʲ,e,o,f,fʲ,s,sɥ,h,ɛ,ɔ,m,mʲ,n,nʲ,ɲ,ŋ,ŋ͡m,ŋ͡mʲ,a,l,lɥ,ɾ,ĩ,ũ,ɥ̥,ɛ̃,ɔ̃,w,ɥ,ã,"		"Stanford, Ronald and Lyn (1970) Collected Field Reports on the Phonology and Grammar of Chakosi. Collected Language Notes No. 11. University of Ghana: Institute of African Studies."
"Chamorro"	"CHAM"	"AUSTRONESIAN"	"Guam"	"p,t,k,ʔ,b,d,ɡ,ts,i,u,dz,e,o,f,s,h,æ,a,m,n,ɲ,ŋ,l,r,w,"		"Topping, Donald M. (1973) Chamorro reference grammar. Honolulu, University Press of Hawaii."
"Chemehuevi (dialect of Ute-Southern Paiute)"	"CHEM"	"UTO-AZTECAN"	"USA"	"p,t,k,kʷ,ʔ,ts,i,ɨ,u,s,h,a,o,v,ɣ,ɣʷ,m,n,ŋ,mʼ,n’,ŋʼ,r,w,j,wʼ,jʼ,"		"Press, Margaret Lauritsen (1975) A Grammar of Chemehuevi. Ann Arbor: UMI."
"Cheremis, Eastern (Mari)"	"ECHE"	"URALIC (Finno-Ugric)"	"Russia"	"p,t̪,tʃ,k,b,d̪,ɡ,i,y,u,s̪,ʃ,e,ø,ə,o,z̪,ʒ,a,m,n̪,ɲ,ŋ,ɾ̪,l̪,ʎ,j,"		"Harms, Robert T. (1962) Estonian Grammar. Bloomington/The Hague: Mouton & Co./Indiana University."
"Cherokee (Oklahoma dialect)"	"CHEO"	"IROQUOIAN"	"USA"	"t,tʃ,k,iː,oː,s,ʃ,h,aː,m,n,ɬ,i,l,o,w,j,a,"		"Walker (1975) Cherokee. In Crawford, James M. (1975) (ed.), Studies in Southeastern Indian Languages. Athens: The University of Georgia Press."
"Cherokee (Qualla dialect)"	"CHEQ"	"IROQUOIAN"	"USA"	"t,k,ʔ,ts,i,u,s,h,e,o,m,n,ʌ̃,l,a,j,w,"		"King, Duane Harold (1975) A Grammar and Dictionary of the Cherokee Language. Ann Arbor: UMI."
"Chomo (Dhu, Como Karim)"	"CHOM"	"NIGER-CONGO"	"Nigeria"	"p,t,k,ts,b,d,ɡ,i,u,dz,ɨ,f,θ,s,h,ɛ,ɔ,v,ð,z,a,b,ⁿd,ɡ,N?,r,l,w,j,"		"Shimizu, Kiyoshi (1980a) Comparative Jukunoid. Vol 1. Wien: Beiträge zur Afrikanistik."
"Chori (Cori)"	"CHOR"	"NIGER-CONGO (Bantu)"	"Nigeria"	"p,t,k,kʷ,k͡p,k͡pʷ,b,d,ɡ,ɡʷ,ɡ͡b,ɡ͡bʷ,i,u,ts,kf,e,o,dz,ɛ,ɔ,b,ⁿd,ɡ,ɡʷ,ɡ͡b,a,ⁿdz,f,s,x,xʷ,h,v,z,ɣ,ɣʷ,m,n,ɲ,ŋ,ŋʷ,r,l,j,w,"		"Dihoff, Ivan Raymond (1976) Aspects of the Tonal Structure of Chori. Ann Arbor: UMI."
"Chrau"	"CHRA"	"AUSTRO-ASIATIC"	"Vietnam"	"p,t,c,k,ʔ,iː,uː,ʔb,ʔd,ɪ,ʊ,b,d,ɟ,ɡ,e̝ː,o̝ː,ʃ,h,e,o,m,n,ɲ,ŋ,ɛː,ɔː,r,a̝,w,l,j,aː,"		"Thomas, David D. (1971) Chrau Grammar. University of Hawaii Press."
"Ciyao (Yao)"	"CIYA"	"NIGER-CONGO (Bantu)"	"Malawi, Tanzania, and Mozambique"	"p,t,tʃ,k,b,d,dʒ,ɡ,i,iː,u,uː,s,e,eː,o,oː,m,n,ɲ,ŋ,a,aː,l,w,ʋ,j,"		"Ngunga, Armindo (2000) Phonology and morphology of the Ciyao verb. Stanford, CA: CSLI Publications. "
"Coatzospan Mixtec (Coatzospan Mixteco)"	"COAT"	"OTO-MANGUEAN"	"Mexico"	"t,k,kʷ,ⁿd,iʔi,ɨʔɨ,uʔu,i,ɨ,u,ts,tʃ,eʔe,oʔo,e,o,aʔa,a,ʃ,β,ð,ĩʔĩ,ɨ̃ʔɨ̃,ũʔũ,ĩ,ɨ̃,ũ,m,n,ɲ,ẽʔẽ,ẽ,l,ãʔã,ã,"	"p,b,ɡ,ɡʷ,ⁿdz,ⁿdʒ,s,ðʲ,r,"	"Gerfen, Chip (1999) Phonology and Phonetics in Coatzospan Mixtec. Dordrecht: Kluwer Academic Publishers."
"Coeur dʼAlene"	"COEU"	"SALISHAN"	"USA"	"p,t,kʷ,q,qʷ,pʼ,tʼ,kʼʷ,qʼ,qʼʷ,ʔ,i,ə,u,b,d,ɡʷ,ɛ,a,o,ts,tʃ,tsʼ,tʃʼ,dʒ,s,ʃ,xʷ,χ,χʷ,h,ɬ,m,n,ʀ,ʕ,ʕʷ,mʼ,n’,ʀʼ,ʕʼ,ʕʼʷ,l,lʼ,j,w,jʼ,wʼ,"		"Johnson, Robert Erik (1975) The Role of Phonetic Detail in Coeur d’Alene Phonology. Ann Arbor: UMI."
"Cofán (Cofan)"	"COFA"	"CHIBCHAN"	"Ecuador"	"p,t,k,pʰ,tʰ,kʰ,ʔ,i,ɨ,o,b,d,ɡ,ɛ,a,ts,tʃ,tsʰ,tʃʰ,ĩ,ɨ̃,õ,dz,dʒ,ɛ̃,ã,ɸ,s,ʃ,h,β,j,ɣ,m,n,ɲ,r,"		"Lindskoog, John N., and Ruth M. Brend (1962) Cayapa Phonemics. In Elson, Benjamin (ed.) (1962) Studies in Ecuadorian Indian Languages: I. Norman: Summer Institute of Linguistics of the University of Oklahoma."
"Comaltepec Chinantec (Comaltepec Chinanteco)"	"COML"	"OTO-MANGUEAN"	"Mexico"	"p,t,k,ʔ,b,d,ɡ,i,ɨ,u,ts,e,o,dz,a,s,h,m,n,ŋ,l,r,"	"ə,æ,"	"Anderson, Judi Lynn (1989) Comaltepec Chinantec Syntax. Studies in Chinantec Languages Volume 3. Arlington, TX: Summer Institute of Linguistics and the University of Texas at Arlington."
"Comanche"	"COMN"	"UTO-AZTECAN"	"USA"	"p,t,k,kʷ,ʔ,ts,i,ɨ,u,s,h,e,o,m,n,a,w,j,"		"Charney, Jean Ormsbee (1993) A Grammar of Comanche. Lincoln: University of Nebraska Press."
"Creole of São Tomé (Sãotomense)"	"SAOT"	"CREOLE"	"São Tomé e Principe"	"p,t,tʃ,k,dʒ,ɡ,ĩ,ũ,i,u,ɓ,ɗ,ẽ,õ,e,o,f,s,ʃ,ɛ,ɔ,v,z,ʒ,ã,a,m,n,ɲ,l,ʎ,w,j,"		"Ferraz, Luiz Evans (1979) The Creole of São Tomé. Johannesburg: Witwatersrand University Press."
"Cuna (San Blas Cuna)"	"CUNA"	"CHIBCHAN"	"Panama"	"p,t,k,kʷ,s,i,u,m,n,e,o,l,a,r,w,j,"		"Sherzer, Joel (1975) A Problem in Cuna Phonology. The Journal of the Linguistic Association of the Southwest, Vol. I, No. 2."
"Czech"	"CZEC"	"INDO-EUROPEAN (Slavic)"	"Czech Republic"	"p,t̪,t̪ʲ,ts,tʃ,k,b,d̪,d̪ʲ,ɡ,iː,uː,f,s,ʃ,x,eː,oː,v,z,ʒ,ɦ,aː,m,n̪,n̪ʲ,l̪,r,i,u,ř,e,o,j,a,"		"Harkins, William E. (1953) A Modern Czech Grammar. New York: King’s Crown Press."
"Daga"	"DAGA"	"TRANS-NEW GUINEA"	"Papua New Guinea"	"p,t,k,b,d,ɡ,s,i,u,v,e,o,m,n,a,l,w,j,"		"Murane, Elizabeth (1974) Daga Grammar from Morpheme to Discourse. Glendale, CA: The Church Press."
"Dagur"	"DAGU"	"ALTAIC"	"China"	"pʰ,tʰ,tʃ,kʰ,b,d,dʒ,ɡ,m,n,i,u,s,ʃ,x,h,e,ɾ,a,o,l,N̩,"		"Martin, Samuel Elmo (1961) Dagur Mongolian grammar, texts, and lexicon; based on the speech of Peter Onon. Bloomington: Indiana University."
"Dahalo"	"DAHA"	"AFRO-ASIATIC (Cushitic)"	"Kenya"	"p,t̪,ts,t,tʃ,k,kʷ,ʔ,b,d̪,dz,d,dʒ,ɡ,ɡʷ,iː,uː,pʼ,t̪ʼ,tsʼ,tɬʼ,tʃʼ,kʼ,kʷʼ,i,u,ɓ,ɗ̪,ɗʒ,eː,oː,ǀ,e,o,b,ⁿd̪,ⁿdz,ⁿd,ⁿdʒ,ɡ,ɡʷ,aː,ⁿǀ,ⁿdɮ,a,f,s,ʃ,ħ,h,v,ʕ,m,n,ɲ,r,l,ɬ,w,j,"		"Tosco, Mauro (1991) A grammatical sketch of Dahalo: including texts and a glossary. Hamburg: Helmut Buske Verlag."
"Dani, Lower Grand Valley"	"LOWE"	"AUSTRONESIAN"	"Indonesia (Irian Jaya)"	"p,t,k,kʷ,i,u,s,h,ɪ,ʊ,m,n,ŋ,e,o,l,a,w,j,ʔ,"		"Bromley, H. Myron (1961) The Phonology of Lower Grand Valley Dani. ‘S-Gravenhage – Martinus Nijhoff."
"Danish"	"DANI"	"INDO-EUROPEAN (Germanic)"	"Denmark"	"p,t,k,b,d,ɡ,i,y,u,f,s,h,ɪ,ʊ,v,ð,ɣ,ø,ʌ,o,m,n,ŋ,ɛ,œ,ɔ,l,æ,a,r,j,"		"Jones, W. Glyn, and Kirsten Gade (1981) Danish: A Grammar. København: Gyldendal"
"Degema"	"DEGE"	"NIGER-CONGO (Edoid)"	"Nigeria"	"p,t,k,k͡p,b,d,dʒ,ɡ,ɡ͡b,ĩ,ũ,ɓ,ɗ,ɪ̃,ʊ̃,f,s,h,i,u,v,ɪ,ʊ,m,n,ɲ,ŋ,ŋʷ,e,o,r,ɛ,ə,ɔ,l,a,j,w,"		"Kari, Ethelbert E. (1997) Degema. München: Lincom Europa.\nElugbe, Ben Ohiomamhe (1989) Comparative Edoid: Phonology and Lexicon. Port: University of Port Harcourt Press."
"Delaware (Unami)"	"DELA"	"ALGIC"	"USA"	"p,t,tʃ,k,s,ʃ,x,h,ə,iː,oː,m,n,a,eː,aː,l,w,j,"		"Goddard, Ives (1979) Delaware Verbal Morphology: A Descriptive and Comparative Study. New York: Garland Publishing, Inc."
"Desano"	"DESA"	"TUCANOAN"	"Brazil and Colombia"	"p,t,k,b,d,ɡ,i,ɯ,u,s,h,e,o,j,a,"	"w,"	"Kaye, Jonathan Derek (1970) The Desano Verb: Problems in Semantics, Syntax, and Phonology. Ann Arbor: UMI."
"Dhaasanac (Daasanach)"	"DHAA"	"AFRO-ASIATIC (Cushitic)"	"Ethiopia"	"t,c,k,ʔ,b,d,ɟ,ɡ,ɪ,ʊ,ɓ,ɗ,ʄ,ɠ,ɛ,ɔ,f,s,ʃ,a,ð,m,n,ɲ,ŋ,r,l,w,j,"		"Tosco, Mauro (2001) The Dhaasanac language: grammar, text, vocabulary of a Cushitic language of Ethiopia. Köln: Rüdiger Köppe Verlag."
"Dhivehi (Maldivian)"	"DHIV"	"INDO-EUROPEAN (Indo-Aryan)"	"Maldives"	"p,t̪,ʈ,c,k,b,d̪,ɖ,ɟ,ɡ,iː,uː,b,ⁿd̪,ⁿɖ,ɡ,i,u,f,s̪,ʂ,h,eː,oː,v,z̪,e,o,m,n̪,aː,l̪,ɭ,a,ɾ,j,"	"ɲ,"	"Cain, Bruce D., and James W. Gair (2000) Dhiveni (Maldivian). Muenchen: Lincom Europa."
"Dholuo (Luo)"	"DHOL"	"NILO-SAHARAN"	"Kenya"	"p,t,c,k,b,d,ɟ,ɡ,i,u,b,ⁿd,ⁿɟ,ɡ,ɪ,ʊ,θ,s,h,e,o,ð,ɛ,ɔ,m,n,ɲ,ŋ,a,l,r,w,j,"		"Okoth-Okombo, Duncan (1982) Dholuo Morphophonemics in a Generative Framework. Berlin: Dietrich Reimer Verlag."
"Dieri (Diyari)"	"DIER"	"Austin, Peter (1981) A Grammar of Diyari, South Australia. Cambridge: Cambridge University Press."	"Australia"	"p,t̪,t,ʈ,c,k,d,ɖ,i,u,m,n̪,n,ɳ,ɲ,ŋ,a,l̪,l,ɭ,ʎ,ɾ,w,ɻ,j,"		"AUSTRALIAN (Pama-Nyungan)"
"Diola-Fogny (Jola-Fogny)"	"DIOL"	"NIGER-CONGO"	"Senegal and Gambia"	"p,t,c,k,b,d,ɟ,ɡ,i,ɪ,ʊ,u,f,s,h,e,ə,o,m,n,ɲ,ŋ,ɛ,ɔ,l,a,ɹ,w,j,"		"Sapir, J. David (1965) A Grammar of Diola-Fogny. Cambridge: Cambridge University Press."
"Djinang/Djinba"	"DJIN"	"AUSTRALIAN (Pama-Nyungan)"	"Australia"	"p,t,ʈ,c,k,d,ɖ,ɟ,i,u,m,n,ɳ,ɲ,ŋ,a,l,ɭ,r,ɽ,w,j,"		"Waters, Bruce E. (1989) Djinang and Djinba – A Grammatical and Historical Perspective. Canberra: Pacific linguistics"
"Dominican Creole (variety of Lesser Antillean Creole French)"	"DOMI"	"CREOLE"	"Dominica"	"p,t,tʃ,k,b,d,dʒ,ɡ,i,u,f,s,ʃ,h,e,o,v,z,ʒ,a,m,n,ɲ,ŋ,l,w,j,"		"Edward, Amastae Jon (1980) Dominican Creole Phonology. Ann Arbor: UMI."
"Doyayo"	"DOYA"	"NIGER-CONGO"	"Cameroon"	"p,t,k,k͡p,i,iː,u,uː,b,d,ɡ,ɡ͡b,e,eː,o,oː,ɓ,ɗ,ɛ,ɛː,ɔ,ɔː,f,s,h,a,aː,v,z,m,n,ŋ,ĩ,ĩː,ũ,ũː,l,ɛ̃,ɛ̃ː,ɔ̃,ɔ̃ː,r,ã,ãː,w,j,"		"Wiering, Elisabeth, and Marinus Wiering (1994) Phonological Description of Doyayo (Poli dialect). In Wiering, E. and M. Wiering (eds.) The Doyayo Language: Selected Studies. Arlington: The Summer Institute of Linguistics.\nWiering, Elisabeth (1994) Tone Patterns of Nominals in Doyayo. In Wiering, E. and M. Wiering (eds.) The Doyayo Language: Selected Studies. Arlington: The Summer Institute of Linguistics."
